5, 170, 200, -nan, 6311.24, -nan, 0, -nan, 463.089, -nan, 100.082, -nan, 6274.97
5, 171, 200, -nan, 7396.33, -nan, 0, -nan, 319.075, -nan, 142.342, -nan, 7371.45
5, 172, 200, -nan, 6718.5, -nan, 0, -nan, 384.599, -nan, 190.069, -nan, 6679.03
5, 173, 200, -nan, 6283.46, -nan, 0, -nan, 628.72, -nan, 378.57, -nan, 6183.04
5, 174, 200, 13317, 6115.96, 0, 0, 0, 516.803, 633.467, 333.432, 13280.4, 6033.38
5, 175, 200, -nan, 6899.71, -nan, 0, -nan, 454.978, -nan, 159.273, -nan, 6851.1
5, 176, 200, -nan, 6519.11, -nan, 0, -nan, 465.893, -nan, 129.142, -nan, 6472.34
5, 177, 200, -nan, 6302.6, -nan, 7.40741, -nan, 619.872, -nan, 334.53, -nan, 6202.55
5, 178, 200, -nan, 6466.18, -nan, 0, -nan, 369.929, -nan, 108.096, -nan, 6432
5, 179, 200, -nan, 6394.46, -nan, 0, -nan, 458.312, -nan, 273.882, -nan, 6343.51
5, 180, 200, -nan, 6613, -nan, 0, -nan, 579.68, -nan, 137.49, -nan, 6556.67
5, 181, 200, -nan, 5997.79, -nan, 0, -nan, 700.805, -nan, 261.988, -nan, 5901.47
5, 182, 200, -nan, 5839.61, -nan, 0, -nan, 546.153, -nan, 290.632, -nan, 5776.01
5, 183, 200, -nan, 6206.87, -nan, 0, -nan, 767.578, -nan, 451.542, -nan, 5992.27
5, 184, 200, 593.126, 6281.13, 87.0981, 0, 288.269, 570.525, 438.648, 231.428, 196.109, 6213.73
5, 185, 200, 11168.1, 6109.28, 0, 0, 0, 425.762, 715.387, 299.548, 11119.6, 6051.26
5, 186, 200, -nan, 6489.02, -nan, 0, -nan, 479.778, -nan, 189.213, -nan, 6433.55
5, 187, 200, -nan, 6723.61, -nan, 0, -nan, 533.951, -nan, 178.38, -nan, 6660.64
5, 188, 200, -nan, 6031.64, -nan, 0, -nan, 294.151, -nan, 118.232, -nan, 6001.42
5, 189, 200, -nan, 6345.38, -nan, 0, -nan, 419.818, -nan, 146.144, -nan, 6300.79
5, 190, 200, -nan, 7242.17, -nan, 0, -nan, 355.306, -nan, 165.64, -nan, 7211.64
5, 191, 200, -nan, 6992.38, -nan, 0, -nan, 424.417, -nan, 258.179, -nan, 6913.06
5, 192, 200, -nan, 5490.11, -nan, 0, -nan, 580.22, -nan, 307.775, -nan, 5409.72
5, 193, 200, -nan, 6436.15, -nan, 0, -nan, 391.301, -nan, 274.006, -nan, 6386.2
5, 194, 200, -nan, 6874.27, -nan, 0, -nan, 588.611, -nan, 325.434, -nan, 6803.93
5, 195, 200, 11765.2, 7240.54, 0, 0, 0, 470.967, 1002.19, 192.354, 11685.7, 7200.4
5, 196, 200, -nan, 6386.87, -nan, 0, -nan, 766.478, -nan, 249.684, -nan, 6277.14
5, 197, 200, -nan, 6013.9, -nan, 0, -nan, 568.848, -nan, 353.359, -nan, 5934.59
5, 198, 200, -nan, 5744.6, -nan, 0, -nan, 548.309, -nan, 273.529, -nan, 5667.97
5, 199, 200, -nan, 6553.15, -nan, 0, -nan, 593.322, -nan, 234.539, -nan, 6482.52
6, 200, 200, -nan, 6449.9, -nan, 0, -nan, 626.161, -nan, 209.774, -nan, 6342.85
6, 201, 200, -nan, 6115.22, -nan, 0, -nan, 754.031, -nan, 343.762, -nan, 6009.08
6, 202, 200, -nan, 5992.04, -nan, 0, -nan, 616.257, -nan, 245.656, -nan, 5898.28
6, 203, 200, -nan, 6340.48, -nan, 3.78239, -nan, 472.008, -nan, 249.596, -nan, 6276.78
6, 204, 200, -nan, 6258.85, -nan, 0, -nan, 544.285, -nan, 400.478, -nan, 6150.65
6, 205, 200, -nan, 6601.37, -nan, 0, -nan, 388.781, -nan, 157.157, -nan, 6556.12
6, 206, 200, -nan, 6679.87, -nan, 0, -nan, 448.488, -nan, 367.121, -nan, 6616.05
6, 207, 200, -nan, 6154.8, -nan, 0, -nan, 436.045, -nan, 196.464, -nan, 6109.77
6, 208, 200, -nan, 6170.63, -nan, 0, -nan, 592.486, -nan, 232.205, -nan, 6101.3
6, 209, 200, 6073.89, 6718.03, 0, 0, 0, 556.489, 745.692, 335.341, 5996.08, 6649.39
6, 210, 200, 8720.62, 6218.21, 0, 0, 0, 488.862, 1034.65, 224.972, 8604.56, 6169.18
6, 211, 200, -nan, 6762.41, -nan, 0, -nan, 341.881, -nan, 196.911, -nan, 6726.38
6, 212, 200, -nan, 6496.79, -nan, 0, -nan, 576.283, -nan, 176.395, -nan, 6430.65
6, 213, 200, -nan, 6468.3, -nan, 0, -nan, 417.687, -nan, 290.239, -nan, 6414.3
6, 214, 200, -nan, 5954.76, -nan, 0, -nan, 548.833, -nan, 434.84, -nan, 5816.14
6, 215, 200, -nan, 6659.5, -nan, 0, -nan, 492.253, -nan, 251.113, -nan, 6589.86
6, 216, 200, -nan, 6151.57, -nan, 0, -nan, 426.371, -nan, 345.848, -nan, 6092.3
6, 217, 200, -nan, 5559.51, -nan, 7.69231, -nan, 679.251, -nan, 247.156, -nan, 5461.8
6, 218, 200, -nan, 6759.18, -nan, 0, -nan, 379.466, -nan, 213.486, -nan, 6719.82
6, 219, 200, -nan, 6379.45, -nan, 3.78239, -nan, 470.325, -nan, 237.772, -nan, 6309.27
6, 220, 200, -nan, 6917.75, -nan, 0, -nan, 491.949, -nan, 149.858, -nan, 6872.95
6, 221, 200, -nan, 7016.36, -nan, 0, -nan, 481.236, -nan, 302.838, -nan, 6933.38
6, 222, 200, -nan, 5956.86, -nan, 0, -nan, 462.982, -nan, 153.031, -nan, 5911.74
6, 223, 200, -nan, 6356.54, -nan, 0, -nan, 353.228, -nan, 167.074, -nan, 6319.85
6, 224, 200, -nan, 6197.03, -nan, 0, -nan, 343.244, -nan, 295.931, -nan, 6147.98
6, 225, 200, -nan, 6849.06, -nan, 0, -nan, 557.886, -nan, 301.748, -nan, 6785.62
6, 226, 200, -nan, 6051.25, -nan, 0, -nan, 600.139, -nan, 406.195, -nan, 5919.75
6, 227, 200, -nan, 6506.82, -nan, 0, -nan, 510.296, -nan, 472.027, -nan, 6412.58
6, 228, 200, -nan, 6670.21, -nan, 3.68861, -nan, 348.337, -nan, 297.891, -nan, 6628.1
