6, 227, 200, -nan, 0.64423, -nan, 0.00627335
6, 228, 200, -nan, 0.635616, -nan, 0.00443899
6, 229, 200, -nan, 0.591314, -nan, 0.00780965
6, 230, 200, -nan, 0.652698, -nan, 0.00799786
6, 231, 200, -nan, 0.705848, -nan, 0.0110812
6, 232, 200, -nan, 0.681666, -nan, 0.00698668
6, 233, 200, -nan, 0.64142, -nan, 0.0041746
6, 234, 200, -nan, 0.705913, -nan, 0.00638265
6, 235, 200, -nan, 0.678353, -nan, 0.0077012
6, 236, 200, 5.84803, 0.653472, 0.19487, 0.00593776
6, 237, 200, 0.142857, 0.603817, -1, 0.00969594
6, 238, 200, -nan, 0.691677, -nan, 0.0080363
6, 239, 200, -nan, 0.65863, -nan, 0.00774857
7, 240, 200, -nan, 0.681818, -nan, 0.00790987
7, 241, 200, -nan, 0.649842, -nan, 0.00694099
7, 242, 200, -nan, 0.662162, -nan, 0.00626868
7, 243, 200, 0.125, 0.687999, -0.822596, 0.00819501
7, 244, 200, -nan, 0.624322, -nan, 0.00837516
7, 245, 200, 0.125, 0.657713, -0.828724, 0.00112068
7, 246, 200, -nan, 0.719662, -nan, 0.00817817
7, 247, 200, -nan, 0.67517, -nan, 0.0081254
7, 248, 200, -nan, 0.610164, -nan, 0.00663599
7, 249, 200, 0.25, 0.71745, -0.662702, 0.00829095
7, 250, 200, 0.05, 0.655922, -0.86414, 0.00680087
7, 251, 200, -nan, 0.74482, -nan, 0.00806006
7, 252, 200, -nan, 0.653389, -nan, 0.00831847
7, 253, 200, -nan, 0.621396, -nan, 0.00684683
7, 254, 200, -nan, 0.581397, -nan, 0.00612287
7, 255, 200, -nan, 0.685359, -nan, 0.00900464
7, 256, 200, -nan, 0.660135, -nan, 0.00839576
7, 257, 200, -nan, 0.59295, -nan, 0.00367331
7, 258, 200, -nan, 0.606375, -nan, 0.00799713
7, 259, 200, 0.125, 0.748582, -0.832798, 0.00898333
7, 260, 200, 0.0526316, 0.799252, -0.788763, 0.00760344
7, 261, 200, 0.0212766, 0.690118, -0.79706, 0.00319902
7, 262, 200, 0.2, 0.610186, -1, 0.00751362
7, 263, 200, -nan, 0.729547, -nan, 0.00739346
7, 264, 200, 0.125, 0.661018, -0.831522, 0.00707384
7, 265, 200, 0.0625, 0.630568, -0.919441, 0.00636268
7, 266, 200, 0.0625, 0.628102, -0.75223, 0.00573999
7, 267, 200, 0.125, 0.716689, -0.855499, 0.00754813
7, 268, 200, 0.1, 0.625939, -0.701334, 0.00684356
7, 269, 200, 0.0625, 0.633113, -0.835469, 0.00578462
7, 270, 200, -nan, 0.575766, -nan, 0.00121771
7, 271, 200, -nan, 0.624822, -nan, 0.00669965
7, 272, 200, -nan, 0.590229, -nan, 0.0058319
7, 273, 200, 0.0714286, 0.665965, -0.784756, 0.0061272
7, 274, 200, -nan, 0.630759, -nan, 0.0064889
7, 275, 200, -nan, 0.664804, -nan, 0.00170411
7, 276, 200, -nan, 0.627974, -nan, 0.00620653
7, 277, 200, -nan, 0.696402, -nan, 0.00503011
7, 278, 200, -nan, 0.62738, -nan, 0.00389507
7, 279, 200, -nan, 0.6392, -nan, 0.00591199
8, 280, 200, -nan, 0.625427, -nan, 0.00598126
8, 281, 200, -nan, 0.670532, -nan, 0.00589692
8, 282, 200, 0.125, 0.690097, -0.867198, 0.00679398
8, 283, 200, -nan, 0.658176, -nan, 0.00670088
8, 284, 200, -nan, 0.632804, -nan, 0.00461188
8, 285, 200, 0.125, 0.626889, -0.828743, 0.00610478
8, 286, 200, 0.142857, 0.627859, -0.86012, 0.00670489
8, 287, 200, -nan, 0.678132, -nan, 0.00376562
8, 288, 200, -nan, 0.682982, -nan, 0.00786243
8, 289, 200, -nan, 0.699681, -nan, 0.00718385
8, 290, 200, -nan, 0.587084, -nan, 0.00508628
8, 291, 200, -nan, 0.664957, -nan, 0.00679173
8, 292, 200, -nan, 0.608582, -nan, 0.00632731
8, 293, 200, -nan, 0.647747, -nan, 0.00581334
8, 294, 200, -nan, 0.642723, -nan, 0.00584081
8, 295, 200, -nan, 0.690724, -nan, 0.0075533
8, 296, 200, -nan, 0.63293, -nan, 0.00460123
8, 297, 200, -nan, 0.625194, -nan, 0.00662072
8, 298, 200, -nan, 0.643007, -nan, 0.00703931
8, 299, 200, -nan, 0.65175, -nan, 0.00483433
8, 300, 200, -nan, 0.63947, -nan, 0.00670658
8, 301, 200, -nan, 0.665149, -nan, 0.00735044
8, 302, 200, 0.125, 0.692159, -0.918077, 0.00570362
8, 303, 200, -nan, 0.637843, -nan, 0.00723833
8, 304, 200, -nan, 0.719699, -nan, 0.00761614
8, 305, 200, -nan, 0.693446, -nan, 0.00492263
8, 306, 200, -nan, 0.656491, -nan, 0.00656871
8, 307, 200, -nan, 0.637139, -nan, 0.00698063
8, 308, 200, -nan, 0.65612, -nan, 0.00598213
8, 309, 200, 0.25, 0.692937, -0.890046, 0.00728538
8, 310, 200, 0.125, 0.638657, -0.896327, 0.00653419
8, 311, 200, 0.142857, 0.625448, -0.835746, 0.00602232
8, 312, 200, -nan, 0.642106, -nan, 0.00702124
8, 313, 200, 0.125, 0.612411, -0.880929, 0.00657299
8, 314, 200, 0.0769231, 0.650618, -0.642341, 0.00510132
8, 315, 200, 0.0909091, 0.624434, -0.865161, 0.00708953
8, 316, 200, 0.125, 0.650247, -0.829709, 0.0071417
8, 317, 200, -nan, 0.706306, -nan, 0.00595203
8, 318, 200, -nan, 0.591517, -nan, 0.00678734
8, 319, 200, 0.125, 0.65663, -0.849978, 0.00640062
9, 320, 200, -nan, 0.698852, -nan, 0.00609774
9, 321, 200, -nan, 0.636553, -nan, 0.00711244
9, 322, 200, -nan, 0.655273, -nan, 0.00701952
9, 323, 200, -nan, 0.644844, -nan, 0.00591354
9, 324, 200, -nan, 0.630097, -nan, 0.00648679
9, 325, 200, -nan, 0.636964, -nan, 0.00719018
9, 326, 200, -nan, 0.608969, -nan, 0.00507439
9, 327, 200, -nan, 0.694124, -nan, 0.00640705
9, 328, 200, 0.125, 0.646649, -0.834967, 0.00653487
9, 329, 200, -nan, 0.633463, -nan, 0.00908887
9, 330, 200, -nan, 0.633389, -nan, 0.00666289
9, 331, 200, -nan, 0.682412, -nan, 0.00756597
9, 332, 200, 0.125, 0.66281, -0.822549, 0.00258688
9, 333, 200, -nan, 0.656099, -nan, 0.00693325
9, 334, 200, -nan, 0.64894, -nan, 0.00648896
9, 335, 200, -nan, 0.637019, -nan, 0.00573884
9, 336, 200, -nan, 0.618606, -nan, 0.00670466
9, 337, 200, -nan, 0.591811, -nan, 0.000631727
9, 338, 200, -nan, 0.629696, -nan, 0.00489255
9, 339, 200, -nan, 0.678094, -nan, 0.00530761
9, 340, 200, -nan, 0.703637, -nan, 0.00608406
9, 341, 200, 0.0140845, 0.860917, -0.767504, 0.00407725
9, 342, 200, 0.0344828, 0.702742, -0.783726, 0.00594715
9, 343, 200, 0.0909091, 0.685615, -0.862053, 0.00639508
9, 344, 200, 0.5, 0.662508, -1, 0.00499398
9, 345, 200, -nan, 0.698461, -nan, 0.00323696
9, 346, 200, 0.125, 0.629311, -0.836804, 0.00637233
9, 347, 200, -nan, 0.699023, -nan, 0.00253136
9, 348, 200, 0.142857, 0.673522, -0.822019, 0.00628234
9, 349, 200, -nan, 0.667994, -nan, 0.00587686
9, 350, 200, 0.125, 0.676794, -0.811463, 0.00375025
9, 351, 200, 0.125, 0.614346, -0.826226, 0.00623412
9, 352, 200, -nan, 0.606478, -nan, 0.00570361
9, 353, 200, -nan, 0.587316, -nan, 0.0052447
9, 354, 200, -nan, 0.665959, -nan, 0.00661386
9, 355, 200, -nan, 0.659213, -nan, 0.00631764
9, 356, 200, 0.0625, 0.639176, -0.809078, 0.00534537
9, 357, 200, 0.1, 0.638429, -0.706588, 0.00648451
9, 358, 200, 0.0454545, 0.653531, -0.875371, 0.00616005
9, 359, 200, 0.125, 0.681606, -0.809275, 0.00295432
10, 360, 200, -nan, 0.604938, -nan, 0.00631288
10, 361, 200, -nan, 0.676147, -nan, 0.0060348
10, 362, 200, -nan, 0.669267, -nan, 0.00661545
10, 363, 200, 0.125, 0.666756, -0.815301, 0.00608813
10, 364, 200, -nan, 0.666806, -nan, 0.00574314
10, 365, 200, 0.125, 0.656098, -0.806321, 0.00598303
10, 366, 200, 0.125, 0.64638, -0.80506, 0.00595001
10, 367, 200, -nan, 0.631144, -nan, 0.00606893
10, 368, 200, -nan, 0.672076, -nan, 0.00386402
10, 369, 200, 0.125, 0.632329, -0.813695, 0.00574259
10, 370, 200, -nan, 0.665946, -nan, 0.00546176
10, 371, 200, -nan, 0.718932, -nan, 0.00546428
10, 372, 200, 0.0769231, 0.657542, -0.787697, 0.00591262
10, 373, 200, -nan, 0.739223, -nan, 0.00577481
10, 374, 200, -nan, 0.650982, -nan, 0.00050044
10, 375, 200, -nan, 0.700445, -nan, 0.0061304
10, 376, 200, 0.2, 0.65069, -0.714699, 0.00578733
10, 377, 200, 0.0588235, 0.65569, -0.735965, 0.00226253
10, 378, 200, 0.0285714, 0.641227, -0.741561, 0.00576872
10, 379, 200, 0.125, 0.703386, -0.843299, 0.00620791
10, 380, 200, 0.0333333, 0.771771, -0.803808, 0.00508243
10, 381, 200, 0.111111, 0.765985, -0.637351, 0.00577399
10, 382, 200, 0.0625, 0.654805, -0.715331, 0.00542199
10, 383, 200, 0.015873, 0.659981, -0.716375, 0.00385892
10, 384, 200, 0.025, 0.684152, -0.766968, 0.0057955
10, 385, 200, 0.125, 0.670932, -0.808928, 0.00541367
10, 386, 200, 0.0416667, 0.679757, -0.719108, 0.0036424
10, 387, 200, 0.03125, 0.663231, -0.710228, 0.00563065
10, 388, 200, 0.0555556, 0.619638, -0.821196, 0.00564031
10, 389, 200, 0.0277778, 0.639967, -0.732896, 0.00481486
10, 390, 200, 0.0454545, 0.655405, -0.693925, 0.00581067
10, 391, 200, 0.0625, 0.691629, -0.818977, 0.00624492
10, 392, 200, 0.0555556, 0.768422, -0.77942, 0.00534139
10, 393, 200, 0.166667, 0.655286, -1, 0.00563325
10, 394, 200, -nan, 0.681399, -nan, 0.00566616
10, 395, 200, 0.125, 0.69451, -0.82754, 0.00383638
10, 396, 200, 0.03125, 0.660105, -0.780173, 0.00534434
10, 397, 200, -nan, 0.678755, -nan, 0.00558109
10, 398, 200, -nan, 0.662453, -nan, 0.0049174
10, 399, 200, -nan, 0.668623, -nan, 0.0056762
11, 400, 200, 0.125, 0.660721, -0.830111, 0.00584353
11, 401, 200, 0.125, 0.665156, -0.825411, 0.00276354
11, 402, 200, -nan, 0.591717, -nan, 0.00570096
11, 403, 200, 0.125, 0.608934, -0.83129, 0.00548742
11, 404, 200, -nan, 0.640578, -nan, 0.00325539
11, 405, 200, -nan, 0.628997, -nan, 0.0056721
11, 406, 200, -nan, 0.709806, -nan, 0.0054397
