4, 130, 200, -nan, 6095.27, -nan, 0, -nan, 641.623, -nan, 741.35, -nan, 5894.17
4, 131, 200, -nan, 6028.29, -nan, 0, -nan, 1025.57, -nan, 564.215, -nan, 5785.47
4, 132, 200, -nan, 6742.42, -nan, 0, -nan, 806.567, -nan, 369.509, -nan, 6597.77
4, 133, 200, -nan, 5673.29, -nan, 8.36177, -nan, 1836.91, -nan, 1064.51, -nan, 4871.14
4, 134, 200, 12444.3, 6479.4, 0, 0, 808.926, 1123.7, 0, 887.265, 12392.4, 6127.1
4, 135, 200, -nan, 5997.14, -nan, 0, -nan, 882.96, -nan, 534.675, -nan, 5640.59
4, 136, 200, -nan, 6350.09, -nan, 0, -nan, 1261, -nan, 1066.09, -nan, 5812.64
4, 137, 200, -nan, 3979.33, -nan, 0, -nan, 378.337, -nan, 222.472, -nan, 3903.29
4, 138, 200, -nan, 6988.01, -nan, 0, -nan, 1098.88, -nan, 699.173, -nan, 6627.83
4, 139, 200, 20234.8, 6369.43, 0, 0, 1095.53, 829.39, 0, 450.944, 20166.7, 6181.58
4, 140, 200, -nan, 6260.54, -nan, 0, -nan, 710.568, -nan, 351.265, -nan, 6100.32
4, 141, 200, -nan, 4807.69, -nan, 0, -nan, 465.699, -nan, 331.784, -nan, 4716.09
4, 142, 200, -nan, 7959.18, -nan, 0, -nan, 425.164, -nan, 348.054, -nan, 7889.99
4, 143, 200, 1296.29, 6404.93, 267.56, 10.6052, 912.845, 496.895, 568.399, 235.822, 646.67, 6329.42
4, 144, 200, -nan, 6887.42, -nan, 0, -nan, 312.506, -nan, 198.712, -nan, 6854.09
4, 145, 200, -nan, 6619.57, -nan, 33.3333, -nan, 983.635, -nan, 498.604, -nan, 6284.59
4, 146, 200, -nan, 6565.24, -nan, 0, -nan, 1676.49, -nan, 1219.39, -nan, 5878.9
4, 147, 200, -nan, 6737.8, -nan, 0, -nan, 1522.23, -nan, 1074.67, -nan, 6096.19
4, 148, 200, -nan, 5959.02, -nan, 0, -nan, 1354.1, -nan, 945.061, -nan, 5486.86
4, 149, 200, -nan, 7614.9, -nan, 0, -nan, 429.531, -nan, 240.704, -nan, 7574.51
4, 150, 200, -nan, 4996.11, -nan, 0, -nan, 1074.22, -nan, 566.535, -nan, 4680.01
4, 151, 200, 676.37, 6516.07, 281.037, 0, 389.602, 733.96, 471.483, 353.912, 65.4243, 6399.51
4, 152, 200, -nan, 5645.94, -nan, 0, -nan, 763.648, -nan, 265.481, -nan, 5532.93
4, 153, 200, -nan, 5881.37, -nan, 0, -nan, 817.46, -nan, 404.496, -nan, 5694.53
4, 154, 200, -nan, 5346.93, -nan, 0, -nan, 1748.1, -nan, 1016.63, -nan, 4622.75
4, 155, 200, -nan, 5548.65, -nan, 0, -nan, 1192.77, -nan, 985.001, -nan, 5148.63
4, 156, 200, -nan, 5684.57, -nan, 0, -nan, 1164.68, -nan, 754.376, -nan, 5326.04
4, 157, 200, 891.108, 5965.36, 293.682, 0, 485.258, 905.587, 675.026, 646.848, 93.6847, 5705.62
4, 158, 200, 637.213, 5890.24, 150.05, 0, 351.004, 972.468, 483.178, 395.037, 154.527, 5627.21
4, 159, 200, -nan, 5443.83, -nan, 0, -nan, 863.731, -nan, 349.364, -nan, 5249.89
5, 160, 200, 774.62, 6885.71, 177.131, 0, 374.048, 1148.57, 594.887, 626.994, 254.323, 6542.79
5, 161, 200, -nan, 4132, -nan, 0, -nan, 729.451, -nan, 369.356, -nan, 3778.02
5, 162, 200, -nan, 7236.86, -nan, 0, -nan, 1372.68, -nan, 581.452, -nan, 6677.96
5, 163, 200, -nan, 5799.47, -nan, 0, -nan, 1161.74, -nan, 648.402, -nan, 5478.22
5, 164, 200, 495.956, 5342.05, 54.3515, 0, 218.497, 815.237, 391.351, 667.199, 179.149, 5128.88
5, 165, 200, -nan, 8345.52, -nan, 0, -nan, 606.413, -nan, 386.917, -nan, 8247.51
5, 166, 200, 1401.57, 5873.64, 363.544, 9.4962, 903.124, 810.561, 798.573, 676.169, 612.433, 5673.3
5, 167, 200, 1509.52, 7483.43, 327.013, 6.30163, 926.919, 989.845, 932.138, 758.617, 621.671, 7176.65
5, 168, 200, 1044.02, 5835.48, 109.464, 0, 450.715, 827.523, 828.439, 388.216, 426.796, 5676.78
5, 169, 200, 3229.37, 5657.66, 9.09091e-30, 0, 284.827, 1008.71, 2.22681e-29, 601.986, 3195.59, 5349.58
5, 170, 200, 5966.5, 6560.92, 244.507, 0, 846.906, 1075.39, 1096.32, 788.529, 5336.63, 6220.74
