9, 353, 200, -nan, 0.658826, -nan, 0.00531922
9, 354, 200, -nan, 0.675705, -nan, 0.00662028
9, 355, 200, -nan, 0.708823, -nan, 0.00405885
9, 356, 200, -nan, 0.622398, -nan, 0.00540224
9, 357, 200, -nan, 0.67437, -nan, 0.00612978
9, 358, 200, -nan, 0.620695, -nan, 0.00580969
9, 359, 200, -nan, 0.635802, -nan, 0.0030163
10, 360, 200, -nan, 0.631409, -nan, 0.00608863
10, 361, 200, -nan, 0.668026, -nan, 0.00581048
10, 362, 200, -nan, 0.618313, -nan, 0.00414046
10, 363, 200, -nan, 0.634708, -nan, 0.00605622
10, 364, 200, -nan, 0.616466, -nan, 0.00694222
10, 365, 200, -nan, 0.654924, -nan, 0.00462957
10, 366, 200, -nan, 0.657182, -nan, 0.0059377
10, 367, 200, -nan, 0.616626, -nan, 0.0061323
10, 368, 200, -nan, 0.65879, -nan, 0.00348575
10, 369, 200, -nan, 0.609785, -nan, 0.00583539
10, 370, 200, -nan, 0.662673, -nan, 0.00576994
10, 371, 200, -nan, 0.611627, -nan, 0.0035176
10, 372, 200, -nan, 0.634375, -nan, 0.00642974
10, 373, 200, -nan, 0.662207, -nan, 0.00537111
10, 374, 200, -nan, 0.641621, -nan, 0.00256556
10, 375, 200, -nan, 0.625211, -nan, 0.00587044
10, 376, 200, -nan, 0.632074, -nan, 0.00579955
10, 377, 200, -nan, 0.648247, -nan, 0.00377627
10, 378, 200, -nan, 0.655863, -nan, 0.00577652
10, 379, 200, -nan, 0.653672, -nan, 0.00414574
10, 380, 200, -nan, 0.627031, -nan, 0.00343061
10, 381, 200, -nan, 0.664595, -nan, 0.00602222
10, 382, 200, -nan, 0.616568, -nan, 0.00612994
10, 383, 200, -nan, 0.645935, -nan, 0.00591168
10, 384, 200, -nan, 0.646248, -nan, 0.00577717
10, 385, 200, -nan, 0.629621, -nan, 0.00620411
10, 386, 200, -nan, 0.664788, -nan, 0.00636236
10, 387, 200, -nan, 0.650262, -nan, 0.00580249
10, 388, 200, -nan, 0.651273, -nan, 0.00601419
10, 389, 200, -nan, 0.612138, -nan, 0.00595052
10, 390, 200, -nan, 0.650287, -nan, 0.00670633
10, 391, 200, 0.125, 0.646104, -0.802993, 0.00545587
10, 392, 200, -nan, 0.661975, -nan, 0.00357124
10, 393, 200, -nan, 0.626762, -nan, 0.00656714
10, 394, 200, -nan, 0.680258, -nan, 0.0070369
10, 395, 200, -nan, 0.643939, -nan, 0.00591516
10, 396, 200, -nan, 0.63456, -nan, 0.00595112
10, 397, 200, -nan, 0.648661, -nan, 0.00457647
10, 398, 200, -nan, 0.667741, -nan, 0.00597921
10, 399, 200, -nan, 0.667951, -nan, 0.00587643
11, 400, 200, -nan, 0.700246, -nan, 0.00619773
11, 401, 200, -nan, 0.638351, -nan, 0.00374208
11, 402, 200, -nan, 0.671029, -nan, 0.00640585
11, 403, 200, -nan, 0.676025, -nan, 0.00646315
11, 404, 200, -nan, 0.649269, -nan, 0.00166225
11, 405, 200, -nan, 0.690057, -nan, 0.00558498
11, 406, 200, 0.125, 0.667904, -0.804351, 0.00587889
11, 407, 200, -nan, 0.64996, -nan, 0.00520429
11, 408, 200, -nan, 0.640693, -nan, 0.00587963
11, 409, 200, -nan, 0.643046, -nan, 0.00463827
11, 410, 200, -nan, 0.663116, -nan, 0.00443704
11, 411, 200, -nan, 0.652382, -nan, 0.005345
11, 412, 200, -nan, 0.649018, -nan, 0.0057769
11, 413, 200, -nan, 0.601828, -nan, 0.00437375
11, 414, 200, -nan, 0.702918, -nan, 0.00548878
11, 415, 200, -nan, 0.723249, -nan, 0.00554413
11, 416, 200, 0.125, 0.657519, -0.805978, 0.00272754
11, 417, 200, -nan, 0.656871, -nan, 0.00553415
11, 418, 200, -nan, 0.652632, -nan, 0.00512474
11, 419, 200, -nan, 0.739346, -nan, 0.00356521
11, 420, 200, -nan, 0.670736, -nan, 0.00504624
11, 421, 200, -nan, 0.680577, -nan, 0.00503732
11, 422, 200, 0.125, 0.686152, -0.804377, 0.0045214
11, 423, 200, -nan, 0.639319, -nan, 0.00509553
11, 424, 200, -nan, 0.649763, -nan, 0.00504673
11, 425, 200, 0.0454545, 0.666012, -0.774625, 0.00327357
11, 426, 200, 0.111111, 0.668711, -0.654388, 0.00522843
11, 427, 200, -nan, 0.658359, -nan, 0.00514122
11, 428, 200, -nan, 0.641148, -nan, 0.00371242
11, 429, 200, -nan, 0.63666, -nan, 0.0051174
11, 430, 200, -nan, 0.655991, -nan, 0.00510079
11, 431, 200, -nan, 0.678374, -nan, 0.00388771
11, 432, 200, -nan, 0.697349, -nan, 0.00515358
11, 433, 200, 0.125, 0.696431, -0.805201, 0.0051232
11, 434, 200, -nan, 0.687707, -nan, 0.0033748
11, 435, 200, 0.125, 0.678402, -0.806281, 0.00507121
11, 436, 200, -nan, 0.66626, -nan, 0.00501102
11, 437, 200, 0.142857, 0.666798, -0.785369, 0.00448262
11, 438, 200, -nan, 0.647493, -nan, 0.00499226
11, 439, 200, -nan, 0.651243, -nan, 0.00499242
12, 440, 200, -nan, 0.644976, -nan, 0.00394593
12, 441, 200, -nan, 0.642168, -nan, 0.00501361
12, 442, 200, -nan, 0.688381, -nan, 0.00504697
12, 443, 200, -nan, 0.682471, -nan, 0.00361649
12, 444, 200, 0.125, 0.638754, -0.811496, 0.00499116
12, 445, 200, 0.125, 0.669797, -0.808961, 0.0050198
12, 446, 200, -nan, 0.653181, -nan, 0.00405557
12, 447, 200, -nan, 0.601081, -nan, 0.00504668
12, 448, 200, -nan, 0.638392, -nan, 0.00499864
12, 449, 200, -nan, 0.630719, -nan, 0.00326319
12, 450, 200, -nan, 0.634841, -nan, 0.00501938
12, 451, 200, -nan, 0.65867, -nan, 0.00504739
12, 452, 200, -nan, 0.651105, -nan, 0.00397259
12, 453, 200, -nan, 0.639986, -nan, 0.00504777
12, 454, 200, 0.2, 0.64097, -0.693603, 0.00501853
12, 455, 200, 0.125, 0.638277, -0.803895, 0.00414148
12, 456, 200, -nan, 0.653654, -nan, 0.00504345
12, 457, 200, -nan, 0.643416, -nan, 0.00504015
12, 458, 200, -nan, 0.7192, -nan, 0.00385062
12, 459, 200, -nan, 0.639436, -nan, 0.00502345
12, 460, 200, -nan, 0.67407, -nan, 0.0050692
12, 461, 200, -nan, 0.645001, -nan, 0.00145509
12, 462, 200, 0.125, 0.707166, -0.813672, 0.00501964
12, 463, 200, -nan, 0.674772, -nan, 0.0050685
12, 464, 200, -nan, 0.679115, -nan, 0.00298935
12, 465, 200, -nan, 0.676183, -nan, 0.00502288
12, 466, 200, -nan, 0.646569, -nan, 0.00507238
12, 467, 200, -nan, 0.652465, -nan, 0.00427726
12, 468, 200, -nan, 0.694363, -nan, 0.0050218
12, 469, 200, -nan, 0.673784, -nan, 0.00501089
12, 470, 200, -nan, 0.67033, -nan, 0.00319921
12, 471, 200, -nan, 0.665601, -nan, 0.00505015
12, 472, 200, -nan, 0.634347, -nan, 0.00498852
12, 473, 200, -nan, 0.672792, -nan, 0.00356347
