6, 204, 200, -nan, 6947.27, -nan, 0, -nan, 0, -nan, 0, -nan, 6947.27
6, 205, 200, 9986.09, 6817.18, 0, 0, 0, 0, 0, 0, 9986.09, 6817.18
6, 206, 200, -nan, 6525.6, -nan, 0, -nan, 0, -nan, 0, -nan, 6525.6
6, 207, 200, 5996.12, 7281.05, 0, 0, 0, 0, 0, 0, 5996.12, 7281.05
6, 208, 200, -nan, 6545.81, -nan, 0, -nan, 0, -nan, 0, -nan, 6545.81
6, 209, 200, -nan, 7177.84, -nan, 0, -nan, 0, -nan, 0, -nan, 7177.84
6, 210, 200, -nan, 7002.53, -nan, 0, -nan, 0, -nan, 0, -nan, 7002.53
6, 211, 200, -nan, 6076.51, -nan, 0, -nan, 0, -nan, 0, -nan, 6076.51
6, 212, 200, 12564.4, 6462.42, 0, 0, 0, 0, 0, 0, 12564.4, 6462.42
6, 213, 200, -nan, 5890.69, -nan, 0, -nan, 0, -nan, 0, -nan, 5890.69
6, 214, 200, -nan, 6341.64, -nan, 0, -nan, 0, -nan, 0, -nan, 6341.64
6, 215, 200, 13250.8, 6863.68, 0, 0, 0, 0, 0, 0, 13250.8, 6863.68
6, 216, 200, -nan, 6336.97, -nan, 0, -nan, 0, -nan, 0, -nan, 6336.97
6, 217, 200, -nan, 6584.45, -nan, 0, -nan, 0, -nan, 0, -nan, 6584.45
6, 218, 200, 13205.2, 8328.02, 0, 0, 0, 0, 0, 0, 13205.2, 8328.02
6, 219, 200, 17210.5, 6681.03, 0, 0, 0, 0, 0, 0, 17210.5, 6681.03
6, 220, 200, -nan, 6723.35, -nan, 0, -nan, 0, -nan, 0, -nan, 6723.35
6, 221, 200, -nan, 6563.62, -nan, 0, -nan, 0, -nan, 0, -nan, 6563.62
6, 222, 200, -nan, 7003.4, -nan, 0, -nan, 0, -nan, 0, -nan, 7003.4
6, 223, 200, -nan, 5852.4, -nan, 0, -nan, 0, -nan, 0, -nan, 5852.4
6, 224, 200, -nan, 6449.22, -nan, 0, -nan, 0, -nan, 0, -nan, 6449.22
6, 225, 200, -nan, 5966.31, -nan, 0, -nan, 0, -nan, 0, -nan, 5966.31
6, 226, 200, -nan, 7415.46, -nan, 0, -nan, 0, -nan, 0, -nan, 7415.46
6, 227, 200, -nan, 6427.05, -nan, 0, -nan, 0, -nan, 0, -nan, 6427.05
6, 228, 200, -nan, 7140.02, -nan, 0, -nan, 0, -nan, 0, -nan, 7140.02
6, 229, 200, 14575.6, 7433.82, 0, 0, 0, 0, 0, 0, 14575.6, 7433.82
6, 230, 200, -nan, 7322.6, -nan, 0, -nan, 0, -nan, 0, -nan, 7322.6
