9, 358, 200, 0.0625, 0.71207, -0.862503, -0.0161826
9, 359, 200, -nan, 0.573503, -nan, -0.00222849
10, 360, 200, -nan, 0.600268, -nan, -0.0039857
10, 361, 200, -nan, 0.536806, -nan, -0.0136899
10, 362, 200, -nan, 0.531486, -nan, -0.0119967
10, 363, 200, -nan, 0.549724, -nan, 0.00368692
10, 364, 200, -nan, 0.586477, -nan, -0.0121561
10, 365, 200, -nan, 0.502405, -nan, 0.0117525
10, 366, 200, -nan, 0.59221, -nan, 0.0195775
10, 367, 200, -nan, 0.681213, -nan, -0.00847773
10, 368, 200, -nan, 0.608983, -nan, 0.0160552
10, 369, 200, -nan, 0.585647, -nan, 0.0203709
10, 370, 200, 0.125, 0.65958, -0.822228, 0.0149135
10, 371, 200, -nan, 0.567317, -nan, 0.017228
10, 372, 200, -nan, 0.554205, -nan, -0.000975647
10, 373, 200, -nan, 0.60398, -nan, -0.013403
10, 374, 200, -nan, 0.58327, -nan, -0.0151362
10, 375, 200, 0.125, 0.619809, -0.877951, 0.00544051
10, 376, 200, -nan, 0.602742, -nan, -0.00393878
10, 377, 200, -nan, 0.569017, -nan, 0.00752413
10, 378, 200, -nan, 0.60793, -nan, 0.00920867
10, 379, 200, -nan, 0.584853, -nan, 0.0146979
10, 380, 200, -nan, 0.564674, -nan, -0.00874561
10, 381, 200, -nan, 0.588236, -nan, 0.0023252
10, 382, 200, -nan, 0.5538, -nan, -0.0074554
10, 383, 200, -nan, 0.60251, -nan, 0.0133149
10, 384, 200, -nan, 0.597298, -nan, 0.00154873
10, 385, 200, -nan, 0.566798, -nan, -0.00322722
10, 386, 200, -nan, 0.579497, -nan, 0.0199329
10, 387, 200, -nan, 0.580768, -nan, -0.0110371
10, 388, 200, -nan, 0.577233, -nan, 0.0249762
10, 389, 200, -nan, 0.591315, -nan, 0.0212363
10, 390, 200, -nan, 0.661091, -nan, 0.0249536
10, 391, 200, -nan, 0.602437, -nan, 0.0144634
10, 392, 200, -nan, 0.598169, -nan, -0.00511594
10, 393, 200, -nan, 0.519879, -nan, -0.015734
10, 394, 200, -nan, 0.644077, -nan, -0.00774004
10, 395, 200, -nan, 0.632617, -nan, -0.00927431
10, 396, 200, -nan, 0.572606, -nan, 0.0178469
10, 397, 200, -nan, 0.560781, -nan, 0.0181548
10, 398, 200, -nan, 0.565742, -nan, -0.0136817
10, 399, 200, -nan, 0.611113, -nan, 0.0222053
11, 400, 200, -nan, 0.525389, -nan, -0.00397415
11, 401, 200, -nan, 0.59498, -nan, -0.00555957
11, 402, 200, -nan, 0.538646, -nan, 0.0161263
11, 403, 200, -nan, 0.59213, -nan, 0.0138733
11, 404, 200, -nan, 0.608267, -nan, -0.00426353
11, 405, 200, -nan, 0.557522, -nan, -0.0125959
11, 406, 200, -nan, 0.560243, -nan, 0.0181607
11, 407, 200, -nan, 0.65319, -nan, -0.00575862
11, 408, 200, -nan, 0.549983, -nan, -0.00295808
11, 409, 200, -nan, 0.667583, -nan, -0.00815307
11, 410, 200, -nan, 0.56363, -nan, -0.00806978
11, 411, 200, -nan, 0.555277, -nan, -0.0171391
11, 412, 200, -nan, 0.714469, -nan, -0.0096315
11, 413, 200, -nan, 0.58857, -nan, 0.0128099
11, 414, 200, -nan, 0.59568, -nan, 0.0203799
11, 415, 200, -nan, 0.59113, -nan, -0.0197007
