5, 193, 200, 12029.6, 6100.37, 234.361, 0, 743.1, 2261.59, 592.066, 1189.48, 11954.8, 4925.25
5, 194, 200, -nan, 5318.88, -nan, 0, -nan, 2005.35, -nan, 1235.92, -nan, 4313.25
5, 195, 200, -nan, 5517.17, -nan, 10.8859, -nan, 1447.56, -nan, 927.667, -nan, 5115.51
5, 196, 200, -nan, 6212.49, -nan, 0, -nan, 1702.97, -nan, 1088.85, -nan, 5499.37
5, 197, 200, -nan, 4891.76, -nan, 0, -nan, 2007.23, -nan, 1538.54, -nan, 3808.06
5, 198, 200, -nan, 6961.24, -nan, 0, -nan, 2881.06, -nan, 2291.64, -nan, 5225.11
5, 199, 200, -nan, 5604.54, -nan, 14.0845, -nan, 1762.24, -nan, 1463.76, -nan, 4676.54
6, 200, 200, -nan, 6343.54, -nan, 0, -nan, 1848.45, -nan, 785.926, -nan, 5761.42
6, 201, 200, -nan, 5703.25, -nan, 0, -nan, 2315.09, -nan, 1293.56, -nan, 4473.27
6, 202, 200, -nan, 5684.54, -nan, 0, -nan, 2517.67, -nan, 1408.11, -nan, 4404.02
6, 203, 200, -nan, 5260.46, -nan, 7.19873, -nan, 1475.5, -nan, 676.262, -nan, 4787.31
6, 204, 200, -nan, 5492.95, -nan, 0, -nan, 1469.29, -nan, 956.602, -nan, 4874.96
6, 205, 200, -nan, 5984.86, -nan, 15.9401, -nan, 2195.44, -nan, 1313.7, -nan, 5033.28
6, 206, 200, -nan, 5002.52, -nan, 0, -nan, 1254.78, -nan, 873.712, -nan, 4626.43
6, 207, 200, -nan, 6807.63, -nan, 0, -nan, 2260.81, -nan, 1492.67, -nan, 5517.09
6, 208, 200, -nan, 6201.07, -nan, 0, -nan, 2048.72, -nan, 1453.27, -nan, 5263.65
6, 209, 200, -nan, 5080.68, -nan, 0, -nan, 1786.89, -nan, 1108.71, -nan, 4297.31
6, 210, 200, -nan, 6037.99, -nan, 0, -nan, 1395.85, -nan, 793.989, -nan, 5632.37
6, 211, 200, -nan, 4562.53, -nan, 0, -nan, 1638.82, -nan, 793.41, -nan, 3960.59
6, 212, 200, -nan, 5336.57, -nan, 0, -nan, 1276.73, -nan, 703.594, -nan, 4957.96
6, 213, 200, -nan, 4815.51, -nan, 0, -nan, 1047.18, -nan, 555.377, -nan, 4538.07
6, 214, 200, -nan, 5420.65, -nan, 17.5439, -nan, 1875.71, -nan, 1219.84, -nan, 4557.96
6, 215, 200, -nan, 5169.16, -nan, 0, -nan, 2201.97, -nan, 1375.42, -nan, 4146.35
6, 216, 200, -nan, 5838.16, -nan, 0, -nan, 2728.91, -nan, 1547.63, -nan, 4276.44
6, 217, 200, -nan, 5297.71, -nan, 0, -nan, 1960.84, -nan, 1171.52, -nan, 4502.65
6, 218, 200, -nan, 5467.36, -nan, 0, -nan, 1599.97, -nan, 1346.09, -nan, 4794.21
6, 219, 200, -nan, 6319.06, -nan, 0, -nan, 2396.51, -nan, 1568.03, -nan, 5159.77
6, 220, 200, -nan, 6488.3, -nan, 16.129, -nan, 2272.81, -nan, 1378.34, -nan, 5384.96
6, 221, 200, -nan, 6151.08, -nan, 0, -nan, 1662.18, -nan, 1182.37, -nan, 5364.08
6, 222, 200, -nan, 5070.16, -nan, 0, -nan, 2032.17, -nan, 1303.53, -nan, 4000.06
6, 223, 200, -nan, 5369.77, -nan, 0, -nan, 1987.33, -nan, 1175.83, -nan, 4458.01
6, 224, 200, -nan, 4940.21, -nan, 16.9492, -nan, 2634.34, -nan, 1573.81, -nan, 3317.46
6, 225, 200, -nan, 5081.39, -nan, 0, -nan, 2324.13, -nan, 1513.02, -nan, 3846.43
6, 226, 200, -nan, 5123.44, -nan, 0, -nan, 1541.42, -nan, 940.901, -nan, 4587.25
6, 227, 200, -nan, 5051.98, -nan, 0, -nan, 1693.41, -nan, 996.792, -nan, 4374.35
6, 228, 200, -nan, 6064.37, -nan, 0, -nan, 1411.36, -nan, 820.637, -nan, 5552.93
6, 229, 200, -nan, 4742.59, -nan, 0, -nan, 2964.65, -nan, 1395.27, -nan, 2807.22
6, 230, 200, -nan, 6332.04, -nan, 0, -nan, 2677.13, -nan, 1739.91, -nan, 4789.31
6, 231, 200, -nan, 5333.21, -nan, 0, -nan, 2120.61, -nan, 1037.5, -nan, 4411.77
6, 232, 200, -nan, 5715.68, -nan, 0, -nan, 2400.75, -nan, 1543.16, -nan, 4433.73
6, 233, 200, -nan, 5183.98, -nan, 0, -nan, 2550.82, -nan, 1369.51, -nan, 3750.72
6, 234, 200, -nan, 5888.5, -nan, 0, -nan, 2106.88, -nan, 1540.8, -nan, 4746.83
6, 235, 200, -nan, 5607.54, -nan, 0, -nan, 2233.2, -nan, 1441.95, -nan, 4380.41
6, 236, 200, -nan, 5500.3, -nan, 0, -nan, 1592.35, -nan, 1264.79, -nan, 4654.98
6, 237, 200, -nan, 5155.01, -nan, 15.1515, -nan, 2295.76, -nan, 1370.43, -nan, 4011.1
6, 238, 200, -nan, 5354.83, -nan, 0, -nan, 2184.61, -nan, 1395.04, -nan, 4262.68
6, 239, 200, -nan, 5057.77, -nan, 0, -nan, 1698.03, -nan, 1354.79, -nan, 4189.18
7, 240, 200, -nan, 5966.41, -nan, 0, -nan, 1736.28, -nan, 1451, -nan, 5101.69
7, 241, 200, -nan, 5311.1, -nan, 0, -nan, 1809.37, -nan, 1324.6, -nan, 4354.9
7, 242, 200, -nan, 4987.47, -nan, 0, -nan, 1941.92, -nan, 1125.86, -nan, 4087.99
7, 243, 200, -nan, 4671.6, -nan, 0, -nan, 1673.32, -nan, 981.413, -nan, 4016.18
7, 244, 200, -nan, 5102.37, -nan, 0, -nan, 2104.06, -nan, 1524.07, -nan, 4054.68
7, 245, 200, -nan, 4902.78, -nan, 6.97377, -nan, 1612.25, -nan, 945.127, -nan, 4293.45
7, 246, 200, -nan, 5109.71, -nan, 0, -nan, 2007.1, -nan, 1252.98, -nan, 4248.23
7, 247, 200, -nan, 5533.53, -nan, 0, -nan, 2076.67, -nan, 1521.4, -nan, 4347.9
7, 248, 200, 8408.03, 6192.05, 0, 0, 128.773, 2484.51, 302.687, 1155.81, 8381.69, 4839.29
7, 249, 200, 7188.53, 5520.68, 0, 0, 700.384, 2266.73, 132.856, 1038.92, 7100.63, 4337.11
7, 250, 200, -nan, 5517.26, -nan, 0, -nan, 1631.21, -nan, 1328.36, -nan, 4768.68
7, 251, 200, -nan, 4965.46, -nan, 0, -nan, 1264.06, -nan, 806.739, -nan, 4554
7, 252, 200, -nan, 4910.21, -nan, 0, -nan, 2104.81, -nan, 1385.22, -nan, 3779.05
7, 253, 200, -nan, 5553.4, -nan, 0, -nan, 1079.94, -nan, 533.121, -nan, 5290.15
7, 254, 200, -nan, 4322.47, -nan, 5.87265, -nan, 1696.86, -nan, 998.452, -nan, 3590.5
7, 255, 200, -nan, 5979.87, -nan, 0, -nan, 1829.04, -nan, 1229.13, -nan, 5207.91
7, 256, 200, -nan, 5321.44, -nan, 0, -nan, 2345.46, -nan, 1427.61, -nan, 4072.32
7, 257, 200, -nan, 5670.52, -nan, 0, -nan, 2203.77, -nan, 1471.05, -nan, 4488.45
7, 258, 200, -nan, 5941.77, -nan, 0, -nan, 1743.78, -nan, 949.28, -nan, 5274.84
7, 259, 200, -nan, 4317.99, -nan, 0, -nan, 2160.18, -nan, 1058.64, -nan, 3294.58
7, 260, 200, -nan, 5017.06, -nan, 0, -nan, 1460.81, -nan, 701.744, -nan, 4494.82
7, 261, 200, -nan, 5133.8, -nan, 0, -nan, 2262.92, -nan, 1468.35, -nan, 3937.66
7, 262, 200, -nan, 5676.6, -nan, 0, -nan, 2271.82, -nan, 1430.52, -nan, 4447.29
7, 263, 200, -nan, 5497.92, -nan, 0, -nan, 2690.07, -nan, 1938.7, -nan, 3909.37
7, 264, 200, -nan, 5959.34, -nan, 6.76245, -nan, 2185.5, -nan, 1725.06, -nan, 4705.75
7, 265, 200, -nan, 5180.04, -nan, 0, -nan, 1969.3, -nan, 1477.64, -nan, 4220.27
7, 266, 200, -nan, 5168.54, -nan, 0, -nan, 1871.34, -nan, 1022.18, -nan, 4299.59
