6, 232, 200, -nan, 7146.88, -nan, 0, -nan, 0, -nan, 0, -nan, 7146.88
6, 233, 200, -nan, 6916.38, -nan, 0, -nan, 0, -nan, 0, -nan, 6916.38
6, 234, 200, -nan, 6610.91, -nan, 0, -nan, 0, -nan, 0, -nan, 6610.91
6, 235, 200, -nan, 6803.73, -nan, 0, -nan, 0, -nan, 0, -nan, 6803.73
6, 236, 200, -nan, 6851.94, -nan, 0, -nan, 0, -nan, 0, -nan, 6851.94
6, 237, 200, -nan, 7003.95, -nan, 0, -nan, 0, -nan, 0, -nan, 7003.95
6, 238, 200, -nan, 6593.16, -nan, 0, -nan, 0, -nan, 0, -nan, 6593.16
6, 239, 200, -nan, 6904.12, -nan, 0, -nan, 0, -nan, 0, -nan, 6904.12
7, 240, 200, -nan, 8045.24, -nan, 0, -nan, 0, -nan, 0, -nan, 8045.24
7, 241, 200, 20428.7, 7166.78, 0, 0, 0, 0, 0, 0, 20428.7, 7166.78
7, 242, 200, -nan, 7265.06, -nan, 0, -nan, 0, -nan, 0, -nan, 7265.06
7, 243, 200, -nan, 7126.52, -nan, 0, -nan, 0, -nan, 0, -nan, 7126.52
7, 244, 200, -nan, 7252.22, -nan, 0, -nan, 0, -nan, 0, -nan, 7252.22
7, 245, 200, -nan, 7276.61, -nan, 0, -nan, 0, -nan, 0, -nan, 7276.61
7, 246, 200, -nan, 7246, -nan, 0, -nan, 0, -nan, 0, -nan, 7246
7, 247, 200, -nan, 7220.02, -nan, 0, -nan, 0, -nan, 0, -nan, 7220.02
7, 248, 200, -nan, 7375.38, -nan, 0, -nan, 0, -nan, 0, -nan, 7375.38
7, 249, 200, -nan, 7144.59, -nan, 0, -nan, 0, -nan, 0, -nan, 7144.59
7, 250, 200, -nan, 7293.2, -nan, 0, -nan, 0, -nan, 0, -nan, 7293.2
7, 251, 200, -nan, 7372.6, -nan, 0, -nan, 0, -nan, 0, -nan, 7372.6
7, 252, 200, -nan, 7211.18, -nan, 0, -nan, 0, -nan, 0, -nan, 7211.18
7, 253, 200, -nan, 7204.95, -nan, 0, -nan, 0, -nan, 0, -nan, 7204.95
7, 254, 200, -nan, 7610.33, -nan, 0, -nan, 0, -nan, 0, -nan, 7610.33
7, 255, 200, -nan, 7179.24, -nan, 0, -nan, 0, -nan, 0, -nan, 7179.24
7, 256, 200, -nan, 7370.06, -nan, 0, -nan, 0, -nan, 0, -nan, 7370.06
7, 257, 200, -nan, 7410.17, -nan, 0, -nan, 0, -nan, 0, -nan, 7410.17
7, 258, 200, -nan, 7267.98, -nan, 0, -nan, 0, -nan, 0, -nan, 7267.98
7, 259, 200, -nan, 7433.74, -nan, 0, -nan, 0, -nan, 0, -nan, 7433.74
7, 260, 200, -nan, 7062.5, -nan, 0, -nan, 0, -nan, 0, -nan, 7062.5
7, 261, 200, -nan, 7266.64, -nan, 0, -nan, 0, -nan, 0, -nan, 7266.64
7, 262, 200, -nan, 7179.93, -nan, 0, -nan, 0, -nan, 0, -nan, 7179.93
7, 263, 200, -nan, 7250.14, -nan, 0, -nan, 0, -nan, 0, -nan, 7250.14
7, 264, 200, -nan, 7228.42, -nan, 0, -nan, 0, -nan, 0, -nan, 7228.42
7, 265, 200, -nan, 7329.94, -nan, 0, -nan, 0, -nan, 0, -nan, 7329.94
7, 266, 200, -nan, 7406.7, -nan, 0, -nan, 0, -nan, 0, -nan, 7406.7
7, 267, 200, -nan, 7470.09, -nan, 0, -nan, 0, -nan, 0, -nan, 7470.09
7, 268, 200, -nan, 7154.09, -nan, 0, -nan, 0, -nan, 0, -nan, 7154.09
7, 269, 200, -nan, 7259.54, -nan, 0, -nan, 0, -nan, 0, -nan, 7259.54
7, 270, 200, -nan, 6971.33, -nan, 0, -nan, 0, -nan, 0, -nan, 6971.33
7, 271, 200, -nan, 7172.9, -nan, 0, -nan, 0, -nan, 0, -nan, 7172.9
7, 272, 200, -nan, 7282.33, -nan, 0, -nan, 0, -nan, 0, -nan, 7282.33
7, 273, 200, -nan, 7239.96, -nan, 0, -nan, 0, -nan, 0, -nan, 7239.96
7, 274, 200, -nan, 6945.15, -nan, 0, -nan, 0, -nan, 0, -nan, 6945.15
7, 275, 200, -nan, 7151.45, -nan, 0, -nan, 0, -nan, 0, -nan, 7151.45
7, 276, 200, -nan, 7108.36, -nan, 0, -nan, 0, -nan, 0, -nan, 7108.36
7, 277, 200, -nan, 7502.77, -nan, 0, -nan, 0, -nan, 0, -nan, 7502.77
